user_id,age,income,risk_tolerance,investment_horizon,preferred_sectors,portfolio_size,trading_frequency,past_returns
USR107,65,313562,6,medium,Mixed,476786,monthly,-5.47
USR108,32,88258,4,medium,Technology,779967,weekly,-14.68
USR109,65,278859,5,long,Consumer,798135,monthly,48.44
USR110,30,180318,4,medium,Healthcare,317950,daily,26.64
USR111,26,168818,1,short,Consumer,307327,weekly,21.03
USR112,66,282361,2,short,Consumer,299151,quarterly,8.3
USR113,39,121659,1,medium,Energy,120629,daily,2.06
USR114,22,327525,1,short,Healthcare,851544,monthly,-23.19
USR115,33,87102,9,medium,Consumer,626084,weekly,32.06
USR116,42,261199,8,medium,Consumer,450660,monthly,15.49
USR117,21,344622,2,short,Mixed,222275,monthly,22.83
USR118,28,150758,3,long,Technology,165136,daily,2.68
USR119,62,336328,8,medium,Technology,243720,monthly,26.56
USR120,62,475681,8,short,Mixed,245762,monthly,33.03
USR121,58,334219,4,medium,Technology,572015,weekly,21.81
USR122,35,458392,3,short,Technology,174982,monthly,17.6
USR123,70,323428,5,medium,Technology,492465,monthly,25.98
USR124,35,287391,9,medium,Energy,85349,daily,41.15
USR125,65,193989,10,medium,Technology,96763,weekly,46.95
USR126,54,332821,1,long,Finance,605238,daily,31.05
USR127,29,271677,9,long,Energy,961571,monthly,-15.48
USR128,55,253529,8,short,Energy,365863,quarterly,-3.34
USR129,60,79840,3,medium,Energy,728369,quarterly,-6.94
USR130,43,451542,9,short,Energy,93337,monthly,-9.81
USR131,25,430037,7,long,Technology,690606,quarterly,3.06
USR132,30,296811,6,long,Energy,656788,quarterly,30.8
USR133,31,165014,9,short,Finance,460398,quarterly,-20.29
USR134,58,344224,4,long,Healthcare,326845,daily,14.18
USR135,23,142807,2,medium,Technology,680172,weekly,9.87
USR136,63,178019,9,long,Finance,436673,quarterly,48.42
USR137,33,264487,9,short,Energy,200869,weekly,39.12
USR138,35,430104,7,medium,Consumer,281150,daily,-7.37
USR139,37,464078,10,long,Mixed,514425,weekly,5.72
USR140,48,205944,6,long,Consumer,396533,quarterly,44.63
USR141,30,390690,4,long,Energy,245907,quarterly,-26.51
USR142,65,272975,7,medium,Mixed,831884,weekly,9.63
USR143,20,91189,9,long,Finance,912946,daily,39.94
USR144,46,77277,9,medium,Technology,758537,weekly,2.8
USR145,59,105929,2,medium,Finance,356007,quarterly,21.99
USR146,39,471872,9,medium,Finance,658246,quarterly,39.79
USR147,20,348726,2,short,Mixed,718644,monthly,49.79
USR148,65,72384,7,short,Mixed,739083,daily,5.49
USR149,62,182006,1,short,Finance,835816,daily,-6.53
USR150,41,250803,3,short,Consumer,433067,weekly,-16.4
USR151,23,344549,7,long,Mixed,253528,quarterly,43.03
USR152,27,146733,8,long,Finance,482894,monthly,23.35
USR153,69,268926,5,long,Consumer,166649,daily,5.34
USR154,40,333056,5,long,Energy,724846,monthly,6.55
USR155,37,129447,7,medium,Technology,249728,quarterly,15.75
USR156,54,180122,5,short,Mixed,416032,monthly,-29.35
USR157,61,433059,1,long,Mixed,521856,monthly,32.06
USR158,32,343276,6,short,Mixed,200367,monthly,24.22
USR159,64,427375,3,long,Technology,948287,daily,-5.29
USR160,46,42492,10,medium,Mixed,138795,daily,42.77
USR161,38,416895,7,short,Healthcare,139579,monthly,12.47
USR162,35,460406,3,medium,Energy,846664,monthly,29.72
USR163,39,446649,2,medium,Technology,148594,weekly,38.81
USR164,64,378583,7,long,Finance,95689,quarterly,-28.89
USR165,52,89796,8,medium,Mixed,786395,monthly,16.76
USR166,70,359783,6,short,Mixed,246180,quarterly,-28.0
USR167,53,196969,10,short,Mixed,67287,quarterly,42.75
USR168,37,365388,7,short,Healthcare,48549,daily,-5.65
USR169,49,85880,2,short,Consumer,143254,quarterly,6.29
USR170,60,414619,9,medium,Consumer,779325,weekly,40.83
USR171,59,76915,8,long,Energy,985668,monthly,-27.38
USR172,41,138911,8,medium,Healthcare,898004,monthly,-22.05
USR173,61,217589,9,long,Finance,64491,quarterly,-7.93
USR174,25,469613,8,short,Mixed,223409,daily,-25.95
USR175,39,152700,3,long,Healthcare,72942,weekly,16.91
USR176,70,480970,4,medium,Healthcare,827952,daily,-7.82
USR177,27,93153,9,medium,Healthcare,116266,daily,-19.46
USR178,40,439179,4,long,Finance,17547,weekly,-8.77
USR179,26,413873,7,long,Technology,782886,daily,8.1
USR180,67,214812,9,long,Technology,474962,weekly,45.63
USR181,20,406284,9,medium,Energy,675591,daily,-25.13
USR182,48,469228,7,medium,Mixed,114206,quarterly,26.99
USR183,46,63530,2,medium,Consumer,156539,daily,-19.9
USR184,57,356914,10,long,Mixed,341981,quarterly,49.57
USR185,51,179611,8,long,Consumer,452096,daily,33.45
USR186,25,472108,9,long,Healthcare,451961,quarterly,41.05
USR187,44,202697,8,medium,Energy,766054,daily,-5.0
USR188,38,373708,5,medium,Healthcare,721184,quarterly,-24.63
USR189,23,73879,7,short,Mixed,775683,monthly,34.94
USR190,53,56447,10,long,Consumer,346658,daily,2.86
USR191,60,418365,7,long,Technology,302601,monthly,-1.87
USR192,54,291030,4,short,Mixed,506612,weekly,37.78
USR193,40,468219,9,medium,Technology,800649,monthly,15.93
USR194,69,249978,9,long,Consumer,708764,daily,18.72
USR195,60,459876,5,short,Healthcare,287544,monthly,43.72
USR196,40,28201,3,short,Consumer,690275,quarterly,-24.43
USR197,65,356964,1,short,Mixed,557251,weekly,0.1
USR198,47,203727,3,medium,Finance,757648,monthly,32.15
USR199,54,337592,2,short,Healthcare,166056,daily,23.92
USR200,35,257318,7,medium,Consumer,464516,quarterly,-8.15
